Encoded: dygkxw
Decoded:  avdhut
Encoded : khoor
Decoded : hello
Encoded : ezhlyx
Decoded : wrzdqp
Encoded : ezhlyx
Decoded : avdhut
Encoded : xfpxmn
Decoded : nvfncd
Encoded : xfpxmn
Encoded : ckucrs
Decoded : sakshi
Encoded : ynxkeg
Encoded : vdnvkl
Decoded : vkuhbd
Encoded : khoor
Decoded : hello
Decoded : avdhut
Decoded : peobvx
Encoded : vkuhbd
Encoded : vkuhbd
Decoded : shreya
Encoded : faimzy
Decoded : avdhut
Decoded : avdhut
Encoded : faimzy
Decoded : avdhut
Encoded : yvopa
Decoded : rohit
Encoded : 
Encoded : apzmgi
Encoded : ybzoprlzo
Encoded : ybzopp
Decoded : rushii
Encoded : vcxcz
Decoded : nupur
Encoded : Zidryx
Decoded : Fojxed
Decoded : Python
